Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Ittle Dew 2+,Ludosity,Ludosity,19/Mar/2020,,[907]
Ivanych vs Eared Beast,,Beatshapers,06/Dez/2018,,[908]
Jack N' Jill DX,Rohan Narang,Ratalaika Games,28/Set/2018,,[909]
JackQuest: The Tale of the Sword,Blowfish Studios,Level 77,24/Jan/2019,,[910]
James Pond Codename: RoboCod,System 3 Software,System 3 Software,29/Abr/2019,,[911]
Japanese Mah-jongg,ITL,ITL,03/Mai/2018,,[912]
JCB Pioneer: Mars,Atomicom Limited,Atomicom,03/Jan/2019,,[913]
Jeopardy!,,Ubisoft,30/Out/2018,,[914][915]
Jettomero: Hero of the Universe,Ghost Time Games,Ghost Time Games,04/Out/2018,,[916]
Jewel Fever 2,Sprakelsoft GmbH,Sprakelsoft,21/Dez/2018,,[917]
Jim is Moving Out!,,Cinemax,19/Jul/2019,,[918]
Job the Leprechaun,Herrero Games,Herrero Games,03/Jan/2019,,[919]
Joe Dever's Lone Wolf,Forge Reply srl con socio unico,Forge Reply,16/Fev/2018,,[920]
Joe Jump Impossible Quest,,Forsaken Games,25/Abr/2019,,[921]
Joggernauts,Space Mace,Graffiti Games,11/Out/2018,,[922]
Jolt Family Robot Racer,Cooply Solutions Ltd,Cooply,11/Jun/2018,,[923]
Jotun: Valhalla Edition,Thunder Lotus Games,Thunder Lotus Games,27/Abr/2018,,[924]
Julie's Sweets,Ocean Media LLC,Ocean Media,06/Dez/2018,,[925]
JumpHead: Battle4Fun!,JumpHead Team,Light Maze,19/Jul/2019,,[926]
Jumping Joe & Friends,Vixa Games / QubicGames S.A.,QubicGames,25/Mai/2018,,[927]
Jungle Z,Rising Win Tech.,Rising Win Tech.,08/Abr/2019,,[928]
Junk Planet,Happinet Corporation,Happinet Corporation,21/Mar/2019,,[929]
Jurassic Pinball,EnjoyUp Games,EnjoyUp Games,25/Mai/2018,,[930]
Just Dance 2017,Ubisoft Paris / Ubisoft Pune,Ubisoft,03/Mar/2017,,[931]
Just Dance 2018,Ubisoft Paris,Ubisoft,24/Out/2017,,[932]
Just Dance 2019,Ubisoft Paris / Ubisoft Pune / Ubisoft Shanghai,Ubisoft,23/Out/2018,,[933]
Just Shapes & Beats,Berzerk Studio,Berzerk Studio,31/Mai/2018,,[934]
Jydge,10tons Ltd,10tons,19/Out/2017,,[932]
Kadobat Wars,,ITTARO,07/Jun/2018,,[935]
Kamiko,Skipmore,Flyhigh Works,27/Abr/2017,,[936]
Katana Zero,Askiisoft,Devolver Digital,18/Abr/2019,BR,[937]
Katamari Damacy REROLL,Bandai Namco Studios,Bandai Namco Entertainment,07/Dez/2018,,[938]
Keep Talking and Nobody Explodes,"Steel Crate Games, Inc.",Steel Crate Games,16/Ago/2018,,[939]
Kemono Friends Picross,Jupiter Corporation,Jupiter Corporation,04/Out/2018,,[940]
Kenshō,Fiftytwo,JetDogs,02/Ago/2018,,[941]
Kentucky Robo Chicken,,Solid9,06/Set/2018,,[942]
Kero Blaster,Studio PIXEL,Active Gaming Media,23/Ago/2018,,[943]
Kiai Resonance,Absorb Reality,Timothee Paez,25/Jul/2019,,[944]
Kid Tripp,Four Horses,Four Horses,23/Nov/2017,,[945]
Kill La Kill -IF,APLUS Games,Arc System Works,26/Jul/2019,,[946]
Kill The Bad Guy,Exkee,Plug In Digital,05/Jul/2018,,[947]
King Oddball,10tons Ltd,10tons,30/Out/2017,,[948]
Kingdom Two Crowns,Noio,Raw Fury,11/Dez/2018,,[949]
Kingdom: New Lands,Noio,Raw Fury,14/Set/2017,,[950]
Kingmaker: Rise to the Throne,Artifex Mundi,Artifex Mundi,20/Dez/2018,,[951]
Kirby Star Allies,HAL Laboratory,Nintendo,16/Mar/2018,A BR,[952]
Kitten Squad,Arcade Distillery,Arcade Distillery,10/Mai/2018,F2P,[953]
Kitty Love: Way to look for love,OperaHouse Corporation,Digimerce,01/Nov/2018,,[954]
Klondike Solitaire,Baltoro Games,Baltoro Games,01/Mar/2019,,[955]
Knight Terrors,Freakzone Games,Nicalis,24/Out/2017,,[956]
Knights of Pen & Paper +1 Deluxier Edition,Seaven Studio / Behold Studios,Plug In Digital,29/Mai/2018,,[957][958]
Knights of Pen & Paper 2 Deluxiest Edition,Seaven Studio,Plug In Digital,13/Dez/2018,,[959][958]
Knock 'Em Down! Bowling,OHRUSSIA,D3Publisher,10/Jan/2019,,[960]
Knock-Knock,Ice-Pick Lodge,Ice-Pick Lodge,31/Out/2018,,[961]
Koi DX,FK Digital,Circle Ent.,09/Nov/2017,,[962]
Koloro,,QubicGames,22/Dez/2018,,[963]
Kona,Parabole,Koch Media,09/Mar/2018,,[964]
Koral,Carlos Coronado,Carlos Coronado,16/Mai/2019,,[965]
Kotodama: The 7 Mysteries of Fujisawa,ART Co. Ltd,PQube,04/Jun/2019,,[966]
kuso,Mokuzai Studio,Mokuzai Studio,20/Nov/2018,,[967]
KYUB,"NextNinja Co.,Ltd.",NextNinja,07/Fev/2019,,[968]
L.A. Noire,Rockstar Games,Rockstar Games,14/Nov/2017,,[969]
L.F.O.: Lost Future Omega,Mebius,mebius.,03/Mai/2018,,[970]
Labyrinth of Refrain: Coven of Dusk,Nippon Ichi Software,NIS America,18/Set/2018,,[971]
Lanota,,Flyhigh Works,14/Jun/2018,,[972]
Lapis x Labyrinth,Nippon Ichi Software,NIS America,28/Mai/2019,,[973]
Laser Kitty Pow Pow,The Bigger Cat,QubicGames,05/Jul/2019,,[974]
Last Day of June,Ovosonico,505 Games,16/Mar/2018,,[975]
Late Shift,CtrlMovie / Wales Interactive,Wales Interactive Ltd.,26/Abr/2018,,[976]
Layers of Fear: Legacy,Bloober Team,Bloober Team S.A.,21/Fev/2018,,[977]
Lazy Galaxy: Rebel Story,Coldwild Games,AbsoDev,14/Dez/2018,,[978]
League of Evil,Ratalaika Games / Woblyware,Ratalaika Games,13/Ago/2017,,[979]
Left-Right : The Mansion,Triple Boris,Triple Boris,17/Jan/2019,,[980]
Legend of Kay Anniversary,Kaiko,THQ Nordic,29/Mai/2018,,[981]
Legend of the Tetrarchs,Exe Create Inc.,Kemco,06/Jun/2019,,[982]
Legendary Eleven,Eclipse Games,Eclipse Games,21/Mai/2018,,[983]
Legendary Fishing,,Ubisoft,18/Set/2018,,[984]
LEGO City Undercover,TT Games,Warner Bros. Entertainment,04/Abr/2017,,[985]
LEGO DC Super-Villains,TT Games,WB Games,16/Out/2018,,[986]
LEGO Harry Potter Collection,TT Games,WB Games,30/Out/2018,,[987]
LEGO Marvel Super Heroes 2,TT Games,WB Games,14/Nov/2017,,[988]
"LEGO Movie 2 Videogame, The",TT Games,WB Games,26/Fev/2019,BR,[989]
LEGO NinjaGo Movie Video Game,TT Games,WB Games,22/Set/2017,,[990]
LEGO The Incredibles,TT Games,WB Games,15/Jun/2018,,[991]
LEGO Worlds,TT Games,WB Games,05/Set/2017,,[992]
Legrand Legacy: Tale of the Fatebounds,Semisoft,Another Indie Studio,24/Jan/2019,,[993]
Leisure Suit Larry - Wet Dreams Don't Dry,CrazyBunch,Assemble Entertainment,13/Jun/2019,,[994]
Leopoldo Manquiseil,The Vanir Project,BLG Publishing,20/Dez/2018,,[995]
Let's Go Nuts,BeardedBrothers.Games,Devjuice,17/Jul/2019,,[996]
Let's Sing 2018,Voxler Games,Plug In Digital,17/Jul/2018,,[997]
Let's Sing 2019,Voxler Games,Plug In Digital,16/Jul/2019,,[998]
Lethal League Blaze,Team Reptile,Team Reptile,12/Jul/2019,,[999]
Letter Quest Remastered,Bacon Bandit Games,Digerati,23/Nov/2017,,[1000]
Levels+: Addictive Puzzle Game,,flow,13/Jul/2017,,[1001]
Lichtspeer: Double Speer Edition,Lichthund,Crunching Koalas,07/Set/2017,,[1002]
Life Goes On,Infinite Monkeys Entertainment Ltd.,Gamepoch,23/Jul/2018,,[1003]
Lifeless Planet: Premiere Edition,Stage 2 Studios,Serenity Forge,06/Set/2018,,[1004]
Light Fall,Bishop Games,Bishop Games,26/Abr/2018,,[1005]
Light Fingers,Numizmatic,Numizmatic,20/Set/2018,,[1006]
Light Tracer,,Beep,16/Mai/2019,,[1007]
Lightseekers,PlayFusion Ltd.,PlayFusion,10/Jan/2019,F2P CP,[1008]
Limbo,Playdead,Playdead,28/Jun/2018,,[1009]
Lines Infinite,Konstructors Entertainment,Nestor Yavorskyy,22/Ago/2019,,[1010]
Lines X,Konstructors Entertainment,Nestor Yavorskyy,27/Jun/2019,,[1011]
Little Dragons Café,Aksys Games,Aksys Games,24/Ago/2018,,[1012]
Little Friends: Dogs & Cats,"Imagineer Co., Ltd.",Sold Out,27/Mai/2019,,[1013]
Little Inferno,Tomorrow Corporation,Tomorrow Corporation,16/Mar/2017,,[1014]
Little Nightmares: Complete Edition,Tarsier Studios,Bandai Namco Entertainment,18/Mai/2018,A,[1015]
Little Racer,,All in! Games,29/Ago/2019,,[1016]
Little Shopping,Ultimate Games INC,Ultimate Games,12/Mar/2019,,[1017]
Little Triangle,Cotton Game,KONANDENKI,01/Mar/2018,,[1018]
Lode Runner Legacy,Tozai Games,Tozai Games,29/Mar/2018,,[1019]
LongStory: A dating game for the real world,,Bloom Digital,06/Dez/2018,,[1020]
Lost Artifacts: Soulstone,8floor ltd,8Floor Games,09/Mai/2019,,[1021]
Loot Monkey: Bling Palace,Tackorama Ltd,Tackorama,06/Ago/2018,,[1022]
Lost in Harmony,Digixart / Midgar Studio,Plug In Digital,21/Jun/2018,,[1023]
Lost King's Lullaby,Storeen Games,Avance,25/Abr/2019,,[1024]
Lost Orbit: Terminal Velocity,PixelNAUTS Games,PixelNAUTS Games,16/Jul/2019,,[1025]
Lost Phones Stories,Accidental Queens / Seaven Studio,Plug In Digital,19/Jul/2018,,[1026]
Lost Sea,,eastasiasoft,31/Mai/2018,,[1027]
Lost Sphear,Tokyo RPG Factory,Square Enix,23/Jan/2018,,[1028]
Love,,Mokuzai Studio,14/Fev/2019,,[1029]
Lovecraft's Untold Stories,BLG Publishing,BLG Publishing,10/Mai/2019,,[1030]
Lovers in a Dangerous Spacetime,Asteroid Base Inc.,Asteroid Base,03/Out/2017,,[1031]
Lucah: Born of a Dream,melessthanthree,"Syndicate Atomic, LLC",03/Jul/2019,,[1032]
Ludomania,,Baltoro Games,31/Ago/2018,,[1033]
Luke & Rebecca,,Racjin,25/Out/2018,,[1034]
Lumines Remastered,Resonair,Enhance,26/Jun/2018,,[1035]
Lumo,Triple Eh? / Spiral House,Rising Star Games,20/Nov/2017,,[1036]
Lyrica,RNOVA Studio,Cosen,28/Mar/2019,,[1037]
M.A.C.E. Space Shooter,EntwicklerX,EntwicklerX,15/Nov/2018,,[1038]
M.A.C.E. Tower Defense,EntwicklerX,EntwicklerX,01/Ago/2019,,[1039]
Machinarium,Amanita Design,Amanita Design,01/Nov/2018,,[1040]
MachiKnights: Blood Bagos,,CFK,09/Mai/2019,,[1041]
Mad Age & This Guy,SimFabric,SimFabric,04/Jan/2019,,[1042]
Mad Bullets,,isTom Games,12/Jul/2019,,[1043]
Mad Carnage,Drageus Games / QubicGames S.A.,QubicGames,02/Fev/2018,,[1044]
Maddening Euphoria,Chequered Ink,Chequered Ink,28/Jun/2019,,[1045]
Madorica Real Estate,Gift Ten Industry,Gift Ten Industry,11/Out/2018,,[1046]
Mages of Mystralia,Borealys Games,Borealys Games,29/Jan/2019,,[1047]
Magic Nations,PrimeBit Games SA,PrimeBit Games,04/Fev/2019,,[1048]
Magic Scroll Tactics,OtoriDenshi,Mediascape,07/Fev/2019,,[1049]
MagiCat,Kucing Rembes,Toge Productions,20/Set/2018,,[1050]
Mahjong,Sanuk Games,Bigben Interactive,13/Nov/2018,,[1051]
Mahjong Deluxe 3,EnsenaSoft,Joindots,14/Jun/2018,,[1052]
Mahjong Solitaire Refresh,Sunsoft,Sunsoft,13/Dez/2018,,[1053]
Mahjong Stories: Vampire Romance,JetDogs,JetDogs,05/Mar/2019,,[1054]
Mainlining,Rebelephant,Merge Games,20/Jun/2019,,[1055]
Mana Spark,Behemutt,QubicGames,22/Dez/2018,,[1056]
Manticore - Galaxy on Fire,Deep Silver Fishlabs,Koch Media,19/Abr/2018,,[1057]
Mantis Burn Racing,VooFoo Studios,VooFoo Studios,23/Nov/2017,CP,[1058]
Manual Samuel,Perfectly Paranormal,Curve Digital,16/Ago/2018,,[1059]
Marble It Up!,Marble It Up! LLC,Marble It Up,29/Set/2018,,[1060]
Marble Power Blast,EntwicklerX,EntwicklerX,10/Jan/2019,,[1061]
Marenian Tavern Story: Patty and the Hungry God,"Rideon,Inc.",Kemco,29/Nov/2018,,[1062]
Maria The Witch,Naps Team,Naps Team,07/Nov/2017,,[1063]
Mario + Rabbids Kingdom Battle,Ubisoft Paris,Ubisoft,29/Ago/2017,A,[1064][1065]
Mario Kart 8 Deluxe,Nintendo,Nintendo,28/Abr/2017,A NL 01 BR,[1066]
Mario Tennis Aces,Camelot,Nintendo,22/Jun/2018,BR,[1067]
Mark of the Ninja: Remastered,Klei Entertainment,Klei Entertainment Inc.,09/Out/2018,,[1068]
Mars or Die!,34BigThings,34BigThings,18/Jan/2019,,[1069]
Mars: Chaos Menace,StarCruiser Studio S.L.,BLG Publishing,16/Nov/2018,,[1070]
Marvel Ultimate Alliance 3: The Black Order,Koei Tecmo Games / Team Ninja,Nintendo,19/Jul/2019,,[1071]
Masquerada: Songs and Shadows,Witching Hour Studios,Ysbryd Games,09/Mai/2019,,[1072]
Masters of Anima,Passtech Games,Focus Home Interactive,10/Abr/2018,,[1073]
Max: The Curse of Brotherhood,Stage Clear Studios,Stage Clear Studios,21/Dez/2017,,[1074]
Mech Rage,Drageus Games S.A.,Drageus Games,23/Dez/2018,,[1075]
Mecha Storm,ENP Games,ENP Games,25/Mai/2018,,[1076]
MechaNika,Mango Protocol,Mango Protocol,08/Nov/2018,,[1077]
Mecho Tales,Arcade Distillery,Arcade Distillery,14/Dez/2017,,[1078]
Mecho Wars: Desert Ashes,Arcade Distillery,Arcade Distillery,10/Jan/2019,CP,[1079]
Mechstermination Force,Hörberg Productions,Hörberg Productions,04/Abr/2019,,[1080]
Mega Mall Story,Kairosoft,Kairosoft,17/Jan/2019,,[1081]
Mega Man 11,Capcom,Capcom,02/Out/2018,A,[1082][1083]
Mega Man Legacy Collection,Capcom,Capcom,22/Mai/2018,A,[1084]
Mega Man Legacy Collection 2,Capcom,Capcom,22/Mai/2018,A,[1085]
Mega Man X Legacy Collection,Capcom,Capcom,24/Jul/2018,,[1086]
Mega Man X Legacy Collection 2,Capcom,Capcom,24/Jul/2018,,[1087]
Megaton Rainfall,Pentadimensional Games,Pentadimensional,09/Ago/2018,,[1088]
Mekabolt,Somepx,Ratalaika Games,23/Ago/2019,,[1089]
Membrane,Perfect Hat,Perfect Hat,22/Fev/2018,,[1090]
Mentori Puzzle,ITL,ITL,03/Jan/2019,,[1091]
Meow Motors,,ArtVostok,08/Mai/2019,,[1092]
Mercenaries Saga Chronicles,Rideon,Circle Ent.,08/Fev/2018,,[1093]
Mercenaries Wings: The False Phoenix,Rideon,Circle Ent.,08/Fev/2018,,[1094]
Mercenary Kings Reloaded,Tribute Games Inc.,Tribute Games,06/Fev/2018,,[1095]
Merchants of Kaidan,Forever Entertainment,Forever Entertainment,31/Jan/2019,,[1096]
Mercury Race,Herrero Games,Herrero Games,07/Fev/2019,,[1097]
Metagal,RetroRevolution,Ratalaika Games,29/Mar/2019,,[1098]
Metaloid: Origin,Retro Revolution,7 Raven Studios,11/Jul/2019,,[1099]
Metropolis: Lux Obscura,Sometimes You,Sometimes You,04/Abr/2018,,[1100]
Midnight Deluxe,Petite Games / Ratalaika Games,Ratalaika Games,08/Mar/2018,,[1101]
Mighty Gunvolt Burst,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",15/Jun/2017,,[1102]
Mighty Switch Force! Collection,WayForward,WayForward,25/Jul/2019,,[1103]
Milanoir,Italo Games,Gambitious,31/Mai/2018,,[1104]
Miles & Kilo,Four Horses,Four Horses,05/Jul/2018,,[1105]
Milkmaid of the Milky Way,Machineboy,Machineboy,22/Ago/2019,,[1106]
Millie,Forever Entertainment,Forever Entertainment,15/Fev/2018,,[1107]
Mimic Hunter,Angry Cat,Angry Cat,08/Fev/2019,,[1108]
Mimpi Dreams,Dreadlocks Ltd,Dreadlocks,15/Nov/2018,,[1109]
MIND: Path to Thalamus,Pantumaca Barcelona,Carlos Coronado,13/Dez/2018,,[1110]
Mindball Play,Interactive IP,Interactive IP,14/Fev/2019,,[1111]
Minecraft,Mojang AB,Mojang AB,21/Jun/2018,CP,[1112]
Minecraft: Nintendo Switch Edition,4J Studios Ltd. / Microsoft Studios,Mojang AB,11/Mai/2017,Não Disponivel*,[1113]
Minecraft: Story Mode - Season Two,Telltale Games,Telltale Games,06/Nov/2018,Removido*,[1114]
Minecraft: Story Mode - The Complete Adventure,Telltale Games,Telltale Games,22/Ago/2017,Removido*,[1115]
Minefield,Vertical Reach,Vertical Reach,04/Abr/2019,,[1116]
Miner Warfare,Heartbit,Heartbit,21/Jun/2019,,[1117]
Minesweeper Genius,Blowfish Studios,Level 77,12/Fev/2019,,[1118]
Mini Metro,Dinosaur Polo Club,Dinosaur Polo Club,30/Ago/2018,,[1119]
Mini Trains,The House of Fables,QubicGames,19/Jul/2019,,[1120]
Minit,"JW, Kitty, Jukio e Dom",Devolver Digital,09/Ago/2018,,[1121]
Mitsurugi Kamui Hikae,Zenith Blue,Zenith Blue,20/Set/2018,,[1122]
Moai VI: Unexpected Guests,Alawar Entertainment,Joindots,18/Abr/2019,,[1123]
Mochi Mochi Boy,Pixelteriyaki,Ratalaika Games,19/Jul/2019,,[1124]
Modern Combat Blackout,Gameloft Bucharest,Gameloft,14/Fev/2019,,[1125]
Modern Tales: Age of Invention,Artifex Mundi,Artifex Mundi,04/Abr/2019,,[1126]
Moero Chronicle Hyper,Compile Heart,Idea Factory,26/Abr/2019,,[1127]
Mom Hid My Game!,Kemco,Kemco,21/Dez/2017,,[1128]
Momodora: Reverie Under the Moonlight,Bombservice,Dangen Entertainment,10/Jan/2019,,[1129]
Momonga Pinball Adventures,Seaven Studio,Plug In Digital,18/Out/2018,,[1130]
Monica e a Guarda dos Coelhos,Mad Mimic,Mad Mimic,04/Dez/2018,,[1131]
Monkey Business,Sabec,Sabec,27/Mai/2019,,[1132]
Monkey King: Master of the Clouds,Starfish SD,UFO Interactive Games,06/Set/2018,,[1133]
Monkey Wall,Cosen,Game Attack,24/Jan/2019,,[1134]
Monopoly for Nintendo Switch,Engine Software,Ubisoft,31/Out/2017,,[1135]
Monster Boy and the Cursed Kingdom,Game Atelier,FDG Entertainment,04/Dez/2018,,[1136]
Monster Dynamite,Joindots,Treva Entertainment GmbH,28/Fev/2019,,[1137]
Monster Energy Supercross - The Official Videogame,Milestone S.r.l.,Milestone,13/Fev/2018,,[1138]
Monster Energy Supercross - The Official Videogame 2,Milestone S.r.l.,Milestone,08/Fev/2019,,[1139]
Monster Hunter Generations Ultimate,Capcom,Capcom,28/Ago/2018,CP,[1140]
Monster Loves You,Radial Games,Radial Games,30/Set/2018,,[1141]
Monster Puzzle,,Forsaken Games,09/Mai/2019,,[1142]
Monster Slayers,Nerdook Productions,Digerati,05/Abr/2019,,[1143]
Monument Builders Rushmore,Shinypix,Microïds,08/Mar/2019,,[1144]
Moon Hunters,Kitfox Games,Kitfox Games,26/Out/2017,,[1145]
Moonfall Ultimate,Fishcow Studio,Wales Interactive Ltd.,04/Set/2018,,[1146]
Moonlighter,Digital Sun,11 bit studios,05/Nov/2018,,[1147]
Moorhuhn Knights & Castles,Young Fun Studio,Young Fun Studio,11/Jan/2018,,[1148]
Moorhuhn Remake,Young Fun Studio,Higgs Games,14/Jun/2018,,[1149]
Moorhuhn Wanted,Young Fun Studio,Higgs Games,27/Set/2018,,[1150]
Mordheim: Warband Skirmish,Legendary Games Ltd,Legendary Games,26/Nov/2018,,[1151]
Morphies Law,Cosmoscope GmbH,Cosmoscope,20/Ago/2018,CP,[1152]
Morphite,Blowfish Studios,Level 77,02/Nov/2017,,[1153]
Mortal Kombat 11,NetherRealm Studios,Warner Bros. Entertainment,23/Abr/2019,CP BR,[1154]
Mother Russia Bleeds,Le Cartel Studio,Devolver Digital,15/Nov/2018,,[1155]
Moto Rush GT,Baltoro Games,Baltoro Games,19/Abr/2019,NL 01,[1156]
Moto Racer 4,Artefacts Studio,Microïds,20/Nov/2018,,[1157]
MotoGP 18,Milestone,Milestone,28/Jun/2018,,[1158]
MotoGP 19,MileStone,MileStone,27/Jun/2019,,[1159]
Motorsport Manager for Nintendo Switch,Playsport Games,Curve Digital,14/Mar/2019,,[1160]
Mowin' & Throwin',House Pixel Games,House Pixel Games,31/Mai/2019,,[1161]
Mr Blaster,ENTERi,Forever Entertainment,22/Ago/2019,,[1162]
Mr. Shifty,Team Shifty,tinyBuild Games,13/Abr/2017,,[1163]
Ms. Splosion Man,"Twisted Pixel Games, LLC",Twisted Pixel,22/Nov/2018,,[1164]
Muddledash,slampunks,PQube,10/Jul/2018,,[1165]
Mugsters,Reinkout Games,Team17 Digital Ltd,17/Jul/2018,,[1166]
Mujo,Oink Games,Oink Games,30/Nov/2017,,[1167]
Mulaka,Lienzo,Lienzo,01/Mar/2018,,[1168]
Mummy Pinball,EnjoyUp Games,EnjoyUp Games,07/Set/2018,,[1169]
Muse Dash,PeroPeroGames,X.D. Network,20/Jun/2019,,[1170]
Mushroom Wars 2,Zillion Whales,Zillion Whales,05/Jul/2018,CP,[1171]
Musynx,I-Inferno,PM Studios,21/Jun/2018,,[1172]
Mutant Football League: Dynasty Edition,Digital Dreams Entertainment LLC,Digital Dreams,30/Out/2018,,[1173]
Mutant Mudds Collection,Atooi,Atooi,14/Dez/2017,,[1174]
Mutant Year Zero: Road to Eden - Deluxe Edition,The Bearded Ladies,Funcom Oslo,30/Jul/2019,,[1175]
MXGP3 - The Official Motocross Videogame,Milestone S.r.l.,Milestone,21/Nov/2017,,[1176]
My Arctic Farm 2018,BiP Media,Plug In Digital,17/Jan/2019,,[1177]
My Big Sister,Stranga,Ratalaika Games,10/Mai/2019,,[1178]
My Brother Rabbit,Artifex Mundi,Artifex Mundi,21/Set/2018,,[1179]
My Exotic Farm 2018,BiP Media,Plug In Digital,17/Jan/2019,,[1180]
My Farm,BiP Media,Plug In Digital,23/Ago/2018,,[1181]
My Friend Pedro,Deadtoast,Devolver Digital,20/Jun/2019,BR,[1182]
My Girlfriend is a Mermaid!?,Cosen,Sekai Games,28/Fev/2019,,[1183]
My Hero One's Justice,Byking,Bandai Namco Entertainment,26/Out/2018,,[1184]
My Jurassic Farm 2018,BiP Media,Plug In Digital,14/Mar/2019,,[1185]
My Little Riding Champion,Caipirinha Games,Bigben Interactive,05/Mar/2019,,[1186]
My Lovely Daughter,,Toge Productions,23/Mai/2019,,[1187]
My Memory of Us,Juggler Games / Crunching Koalas,Crunching Koalas,24/Jan/2019,,[1188]
My Riding Stables - Life with Horses,Independent Arts,KalypsoMediaGroup,13/Nov/2018,,[1189]
My Time at Portia,Pathea Games,Team17 Digital Ltd,16/Abr/2019,,[1190]
N++,Metanet Software Inc.,Metanet Software Inc.,24/Mai/2018,,[1191]
Nairi: Tower of Shirin,HomeBearStudio,Another Indie Studio,29/Nov/2018,,[1192]
Namco Museum,Bandai Namco Studios Inc.,Bandai Namco Entertainment,28/Jul/2018,,[1193]
Namco Museum Pac-Man VS. (Free Multiplayer Only Ver.),Bandai Namco,Bandai Namco Entertainment,28/Jul/2017,F2P,[1194]
Namco Museum Arcade Pac,Bandai Namco,Bandai Namco Entertainment,28/Set/2018,,[1195]
Naruto: Ultimate Ninja Storm,Bandai Namco,Bandai Namco Entertainment,26/Abr/2018,,[1196][1197]
Naruto Shippuden: Ultimate Ninja Storm 2,Bandai Namco,Bandai Namco Entertainment,26/Abr/2018,,[1198][1197]
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,Bandai Namco,Bandai Namco Entertainment,26/Abr/2018,,[1199][1197]
NBA 2K Playgrounds 2,Saber Interactive,2K Games,15/Out/2018,CP,[1200]
NBA 2K18,Visual Concepts,Take 2 Interactive Software,15/Set/2017,,[1201][1202]
NBA 2K19,Visual Concepts,2K Games,11/Set/2018,,[1203][1204]
NBA Playgrounds - Enhanced Edition,Saber Interactive,2K Games,04/Jan/2018,,[1205]
Necrosphere Deluxe,Cat Nigiri,Unties,31/Jan/2019,,[1206]
Nefarious,StarBlade,Digerati,13/Set/2018,,[1207]
Neko Navy - Daydream Edition,DeathMofuMofu,Fruitbat Factory,10/Jan/2019,,[1208]
Nekopara Vol. 1,"Connect Wizard CO.,LTD",CFK,04/Jul/2018,,[1209]
Nekopara Vol. 2,Neko Works,CFK,14/Fev/2019,,[1210]
Nekopara Vol. 3,Neko Works,CFK,27/Jun/2019,,[1211]
Nelke & the Legendary Alchemists: Ateliers of the New World,Gust,Koei Tecmo America,26/Mar/2019,,[1212]
Nelly Cootalot: The Fowl Fleet,Alasdair Beckett-King,ASHGames,11/Jul/2019,,[1213]
Neo Atlas 1469,Studio Artdink,NIS America,19/Abr/2018,,[1214]
Neon Caves,Force of Habit,Force of Habit,27/Mar/2019,,[1215]
Neon Chrome,10tons Ltd,10tons,12/Out/2017,,[1216]
Neon Junctions,9 Eyes Game Studio,Ratalaika Games,07/Jun/2019,,[1217]
Neonwall,JanduSoft S.L.,JanduSoft,15/Mar/2018,,[1218]
NeuroVoider,Flying Oak,Plug In Digital,07/Set/2017,,[1219][1220]
Never Give Up,Massive Monster,Armor Games Studios,13/Ago/2019,,[1221]
Never Stop,Pixelsplit,Pixelsplit,15/Mai/2018,,[1222]
Never Stop Sneakin',Humble Hearts LLC,Humble Hearts,14/Dez/2017,,[1223]
Neverlast,Sabec,Sabec,09/Ago/2019,,[1224]
Neverout,Gamedust,Gamedust,10/Jul/2018,,[1225]
New Frontier Days: Founding Pioneers,Arc System Works,"Arc System Works Co., Ltd.",23/Mar/2017,,[1226]
New Star Manager,New Star Games,FiveAcesPublishing,31/Jan/2019,,[1227]
New Super Mario Bros. U Deluxe,Nintendo EAD,Nintendo,11/Jan/2019,BR,[1228]
Next Up Hero,Digital Continue,"Aspyr Media, Inc.",16/Ago/2018,CP,[1229]
Nice Slice,,Kool2Play,14/Fev/2019,,[1230]
Nickelodeon Kart Racers,Bam Tang Games,GameMill Entertainment,23/Out/2018,,[1231]
Nidhogg 2,,Messhof,22/Nov/2018,,[1232]
Night in the Woods,Infinite Fall,Finji,01/Fev/2018,,[1233]
Night Trap - 25th Anniversary Edition,Limited Run Games,Limited Run Games,24/Ago/2018,,[1234]
Nightmare Boy,The Vanir Project,Badland Games,16/Jan/2018,,[1235]
Nightmares from the Deep 2: The Siren's Call,Artifex Mundi,Artifex Mundi,10/Ago/2018,,[1236]
Nights of Azure 2: Bride of the New Moon,"Koei Tecmo Games CO., LTD.",Koei Tecmo America,24/Out/2017,,[1237]
Nightshade,Red Entertainment / Lantern Rooms,D3Publisher,20/Dez/2018,,[1238]
Nihilumbra,,Beautifun Games,03/Mai/2018,,[1239]
Nine Parchments,Frozenbyte,Frozenbyte,05/Dez/2017,,[1240]
Ninja Shodown,Bitmap Bureau,Rising Star Games,05/Out/2017,,[1241]
Ninja Striker!,Q-Cumber Factory,Flyhigh Works,19/Abr/2018,,[1242]
Ninja Village,,Kairosoft,28/Fev/2019,,[1243]
Ninjin: Clash of Carrots,Pocket Trap,Modus Games,04/Set/2018,,[1244]
Nippon Marathon,Onion Soup Interactive,PQube,17/Dez/2018,,[1245]
Nintendo Labo Toy-Con 01: Variety Kit,Nintendo EPD,Nintendo,20/Abr/2018,,[1246]
