Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Henry The Hamster Handler,,Pocket Money Games,18/Mai/2018,,[812]
Her Majesty's SPIFFING,Billy Goat Entertainment Ltd,Billy Goat,01/Fev/2018,,[813]
Hero Express,Fantastico Studio,Fantastico Studio,05/Jul/2019,,[814]
Heroes of the Monkey Tavern,Monkey Stories,Monkey Stories,07/Nov/2017,,[815]
Heroes Trials,Shinyuden,Ratalaika Games,25/Jan/2019,,[816]
Heroine Anthem Zero: Episode 1,,Winking,23/Mai/2019,,[817]
Heroki,Picomy,Picomy,20/Jul/2018,,[818]
Hexa Maze,Joindots,Treva Entertainment GmbH,14/Fev/2019,,[819]
HexaGravity,,Forsaken Games,02/Mai/2019,,[820]
Hexologic,Hexologic,Hexologic,12/Jun/2018,,[821]
Hidden Folks,Adriaan de Jongh,Adriaan de Jongh,31/Out/2018,,[822]
High Noon Revolver,Mike Studios,Keybol Games,23/Jul/2019,,[823]
Hiragana Pixel Party,Springloaded,Springloaded,16/Dez/2017,,[824]
History 2048,Run-Down Games,Run-Down Games,01/Mar/2019,,[825]
Hive Jump,Graphite Lab,Graphite Lab,11/Jan/2019,,[826]
Hob: The Definitive Edition,Runic Games,Perfect World Entertainment,04/Abr/2019,,[827]
Hoggy2,Raptisoft,Ratalaika Games,26/Jul/2019,,[828]
Hollow,MMEU,Forever Entertainment,22/Fev/2018,,[829]
Hollow Knight,Team Cherry,Team Cherry,12/Jun/2018,BR,[830]
Holy Potatoes! A Weapon Shop?!,Daylight Studios,Rising Star Games,12/Jul/2018,,[831]
Holy Potatoes! We're In Space?!,Daylight Studios,Rising Star Games,17/Jan/2019,,[832]
Home Escape,Pat-o-logic Studio,Pat-o-logic Studio,21/Jun/2019,,[833]
Homo Machina,Seaven Studio / Darjeeling Production,ARTE Experience,25/Abr/2019,,[834]
Hook,Rainbow Train,Rainbow Train,14/Mar/2019,,[835]
Hookbots,Tree Interactive,Tree Interactive,28/Ago/2019,,[836]
HoPiKo,Laser Dog,Merge Games,10/Jan/2019,,[837]
Hopping Girl Kohane Jumping Kingdom: Princess of the Black Rabbit,,D-O,29/Ago/2019,,[838]
Horizon Chase Turbo,Aquiris Game Studio,Aquiris,28/Nov/2018,BR,[839]
Horizon Shift '81,,Funbox Media,20/Dez/2018,,[840]
Hot Gimmick Cosplay-jong for Nintendo Switch,,Zerodiv,04/Out/2018,,[841]
Hot Springs Story,Kairosoft,Kairosoft,11/Out/2018,,[842]
Hotel Dracula,Baked Games,Ultimate Games,26/Abr/2019,,[843]
